date	count	area	hcount	harea
2017-8-24	349	28463.66	293	25809.95
2017-8-23	319	30842.51	281	25430.09
2017-8-22	355	31246.97	319	29088
2017-8-21	407	33981.7	376	32026.43
2017-8-20	38	3558.84	34	3366.71
2017-8-19	42	3536.2	37	3110.21
2017-8-18	413	35276.43	363	32989.16
2017-8-17	414	37051.59	363	32980.41
2017-8-16	359	31958.96	315	28864.02
2017-8-15	343	33120.13	298	28433.17
2017-8-14	417	38039.09	383	35435.64
2017-8-13	37	3374.22	34	3216.29
2017-8-12	30	2967.32	26	2834.62
2017-8-11	420	35288.02	381	33091.95
2017-8-10	367	30669.03	322	28411.77
2017-8-9	338	32633.48	300	27248.05
2017-8-8	276	29156.86	240	22314.59
2017-8-7	410	36131.88	373	34121.93
2017-8-6	26	2411.12	23	2210.46
2017-8-5	31	3063.79	28	2968.93
2017-8-4	326	28577.07	302	27598.78
2017-8-3	324	29023.63	292	27343.23
2017-8-2	295	27826.45	269	25354.29
2017-8-1	306	25800.29	259	22533.34
2017-7-31	500	43925.1	454	40696.64
2017-7-30	33	2779.56	31	2701.65
2017-7-29	33	3601.6	33	3601.6
2017-7-28	406	42094.57	344	32435.54
2017-7-27	372	34139.08	338	32223.43
2017-7-26	330	30723.41	286	27866.19
2017-7-25	381	32247.71	333	30143.88
2017-7-24	351	31858.74	313	29701.7
2017-7-23	40	3945.54	33	3824.89
2017-7-22	47	4289.54	45	4216.23
2017-7-21	338	31372.44	297	28999.74
2017-7-20	385	33415.15	339	31381.64
2017-7-19	332	31239.77	283	28536.07
2017-7-18	524	37945.68	283	26991.02
2017-7-17	431	40790.74	375	36965.62
2017-7-16	30	2494.34	26	2323.89
2017-7-15	29	2598.61	28	2543.9
2017-7-14	399	42957.54	351	36224.77
2017-7-13	346	32874.85	311	30596.14
2017-7-12	353	31642.81	311	29410.52
2017-7-11	363	37748.04	295	28969.12
2017-7-10	387	34570.13	334	31592.09
2017-7-9	34	2930.66	27	2642.07
2017-7-8	61	6513.7	54	6305.23
2017-7-7	366	35136.79	332	31222.36
2017-7-6	341	31324.3	293	29183.62
2017-7-5	345	34027.84	291	30637.48
2017-7-4	365	34344.64	316	31919.18
2017-7-3	410	40423.85	356	36846.93
2017-7-2	29	2519.3	19	2116.03
2017-7-1	31	2693.47	27	2535.86
2017-6-30	548	48605.04	510	47313.49
2017-6-29	400	35483.39	350	32157.12
2017-6-28	393	44339.17	351	33419.09
2017-6-27	475	91261.32	343	36157.55
2017-6-26	443	38532.26	395	36816.48
2017-6-25	46	3354.89	42	3236.2
2017-6-24	41	4231.75	41	4231.75
2017-6-23	420	39368.4	370	36007.42
2017-6-22	352	31602	313	30048.54
2017-6-21	414	46475.37	360	35501.39
2017-6-20	418	38370.69	386	35931.96
2017-6-19	506	56220.42	427	41863.99
2017-6-18	41	4839.4	38	4559.07
2017-6-17	53	5307.98	52	5243.3
2017-6-16	482	46367.6	443	44576.67
2017-6-15	388	33909.61	334	31674.7
2017-6-14	453	56906.81	389	35317.48
2017-6-13	441	44681.59	377	38074.6
2017-6-12	479	43842.31	406	40144.08
2017-6-11	51	4732.15	48	4641.36
2017-6-10	52	6103.81	47	5476.84
2017-6-9	560	109274.94	402	39376.93
2017-6-8	493	55840.23	405	36400.51
2017-6-7	468	42527.41	410	39269.04
2017-6-6	422	40064.55	389	37291.66
2017-6-5	503	47366.76	464	44442.09
2017-6-4	56	4980.6	47	4551.09
2017-6-3	60	5689.73	55	5511.24
2017-6-2	416	38857.11	378	36743.35
2017-6-1	390	36031.68	346	33178.04
2017-5-31	613	55087.31	565	51661.42
2017-5-30	20	1788.61	17	1555.1
2017-5-29	40	3579.02	37	3461
2017-5-28	102	9481.61	95	9269.31
2017-5-27	652	57583.34	608	55341.76
2017-5-26	339	32962.09	303	30178.2
2017-5-25	572	49738.26	511	46395.04
2017-5-24	512	47563.36	480	45581.85
2017-5-23	495	43391.1	463	41964.17
2017-5-22	527	46897.08	482	44280.15
2017-5-21	70	5824.69	65	5685.02
2017-5-20	55	5211.95	48	4889.38
2017-5-19	641	59442.28	576	55516
2017-5-18	575	53167.37	521	49823.41
2017-5-17	648	62957.28	589	56007.03
2017-5-16	669	60367.97	624	57823.53
2017-5-15	299	27782.28	257	25337.01
2017-5-14	54	4732.61	51	4628.56
2017-5-13	62	5714.7	56	5275.09
2017-5-12	597	57084.45	563	54087.7
2017-5-11	574	56450.37	525	51825.31
2017-5-10	583	54815.33	540	50257.59
2017-5-9	589	59890.86	533	50749.26
2017-5-8	547	49576.43	494	46103.04
2017-5-7	46	4331.18	41	4099.23
2017-5-6	64	6545.61	58	6228.14
2017-5-5	611	56869.41	564	54119.88
2017-5-4	511	45887.84	463	41657.94
2017-5-3	442	39171.3	400	36434.27
2017-5-2	301	27051.61	262	24983.49
2017-5-1	14	1054.36	10	950.49
2017-4-30	76	7176.76	72	7035.07
2017-4-29	618	53973.38	601	52972.95
2017-4-28	1166	104114.53	1094	100108.8
2017-4-27	849	74591.23	768	70132.74
2017-4-26	675	65145	611	58882.28
2017-4-25	726	65883.42	644	61212.14
2017-4-24	825	76644.37	797	74699.02
2017-4-23	113	9449.83	112	9418.99
2017-4-22	110	9390.37	107	9283.85
2017-4-21	913	84202.27	869	80127.09
2017-4-20	849	77202.79	805	71378.09
2017-4-19	814	73945.55	750	71023.27
2017-4-18	722	63532.31	683	61815.09
